REGISTRO_OPERADORA;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS;Data_Descredenciamento;Motivo_do_Descredenciamento
"416258";"06066190000126";"A.N.E. PLANOS ODONTOLÓGICOS LTDA ME";"SORRISO CONVÊNIO ODONTOLÓGICO";"Odontologia de Grupo";"RUA AQUIDABAN";"1269";;"CENTRO";"São Carlos";"SP";"13560120";"16";"34135136";;"sorriso@conveniosorriso.com.br";"ANTONIO DE ALMEIDA SILVA NETO";"SOCIO GERENTE";5;"2007-07-19";"2011-04-20";"Descumprimento da RN n.º 100/2005"
"406708";"00539806000152";"A.P.S ASSISTÊNCIA PERSONALIZADA À SAÚDE LTDA";"APS";"Medicina de Grupo";"RUA VINTE E TRÊS DE MAIO";"790";"MEZANINO";"VIANELO";"Jundiaí";"SP";"13207070";"21";"38054491";"38051088";"representanteans@amil.com.br";"ALEXANDRE GINO CAMARGO ZORNIG";"REPRESENTANTE LEGAL";5;"1999-07-29";"2024-04-26";"Por incorporação"
"421600";"31207622000119";"A4 ADMINISTRADORA DE BENEFICIOS LTDA";"A4 ADMINISTRADORA DE BENEFICIOS ";"Administradora de Benefícios";"Rua do Rosário";"001";"Sala 401";"CENTRO";"Rio de Janeiro";"RJ";"20041003";"21";"35531692";;"juridico@qvsaude.com.br";"SERGIO SOUTELINHO DE AMORIM";"ADMINISTRADOR";4;"2019-04-29";"2024-01-12";"Pedido de cancelamento"
"346616";"00945825000189";"ABADO KASSAB S/C LTDA.";"ODONTOSHER";"Odontologia de Grupo";"RUA DOS ANDRADAS";"868";"SALA 02";"CENTRO";"Itu";"SP";"13300170";"11";"40244242";"40221800";"odontosher@uol.com.br";"PAULA KASSAB SILVA";"SÓCIO GERENTE";5;"1999-01-15";"2010-01-26";"Pedido de cancelamento"
"417734";"07525246000126";"ABBESS - ASSOCIAÇÃO BRASILEIRA DE BENEFICIOS E SEGURIDADE SOCIAL";;"Administradora de Benefícios";"AV RIO BRANCO";"120";"PAVIMENTO 4 - SALA 426";"CENTRO";"Rio de Janeiro";"RJ";"20040001";"21";"22704971";;"comercial@abbess.com.br";"MARCELO BRANDÃO ROCHA";"PRESIDENTE E TESOUREIRO";6;"2010-12-20";"2023-08-14";"Alternat. à Liquidação - Deliberação de Diretoria Colegiada"
"417408";"02701366000113";"ABC ASSISTENCIAL LTDA.";"ABC ASSISTENCIAL";"Administradora de Benefícios";"RUA FERNANDO DE CAMARGO";"895";"11º ANDAR CJ. 113";"CENTRO";"Americana";"SP";"13465020";"19";"21094600";"21094600";"RAUL@ABCASSISTENCIAL.COM.BR";"ANTONIO BENEDITO CABRAL";"DIRETOR";2;"2010-07-16";"2018-01-04";"Pedido de cancelamento"
"348694";"44043883000192";"ABC CLÍNICAS S/C LTDA.";;"Medicina de Grupo";"AV. ALFREDO MALUF";"409";;"JARDIM SANTO ANTÔNIO";"Santo André";"SP";"09240410";"11";"49966648";"49973146";;"JAMIR PEREIRA DAS NEVES";"SÓCIO";;"1999-01-29";"2002-05-21";"Pedido de cancelamento"
"345440";"01164765000120";"ABEFI - ASSOCIAÇAO BENEFICENTE EVANGÉLICA DE FOZ DO IGUAÇU";"ABEFI";"Medicina de Grupo";"RUA EDMUNDO DE BARROS";"830";;"M'BOICY";"Foz do Iguaçu";"PR";"85851120";"45";"5233781";"5233781";"abefi@fnn.net";;;;"1998-12-30";"2002-01-24";"Pedido de cancelamento"
"403342";"01057881000140";"ABIAMT ASSOC.BENEF.INTERN.DE ASSIST.MED.AOS TRAB";"ABIAMT";"Medicina de Grupo";"AV. ANTÔNIO MARQUES FIGUEIRA";"365";;"CENTRO";"Suzano";"SP";"09041410";"11";"61638939";"61638939";;"ANA MARIA BATISTA";;;"1999-04-08";"2002-05-21";"Pedido de cancelamento"
"306347";"63501316000187";"ABS-ASSISTÊNCIA BUCAL SERVIÇOS S/C LTDA.";"ABS ASSISTÊNCIA BUCAL SERVIÇOS";"Odontologia de Grupo";"RUA LEONARDO MOTA";"1755";;"ALDEOTA";"Fortaleza";"CE";"60170040";"00";"833048500";"833048519";"emanuel@absonline.com.br";"EMANUEL PASSOS CHAVES";"DIRETOR ADMINISTRATIVO";5;"1998-12-22";"2018-04-27";"Alternat. à Liquidação - Deliberação de Diretoria Colegiada"
"348961";"18238980000120";"ACESITA ENERGÉTICA LTDA.";"FLORASA";"Autogestão";"AV. JOAO PINHEIRO";"580";;"CENTRO";"Belo Horizonte";"MG";"30130180";"31";"2354200";"2737218";"acesicom@gtc.africanet.com.br";"RUBENS TEODORO DA COSTA";"DIRETOR PRESIDENTE";;"1998-12-29";"2010-10-26";"Pedido de cancelamento"
"316814";"33390170000189";"ACESITA S.A.";"ACESITA";"Autogestão";"AV. JOAO PINHEIRO";"580";;"CENTRO";"Belo Horizonte";"MG";"30130180";"31";"2354200";"2737218";"acesicom@gtc.africanet.com.br";"LUIZ ANIBAL DE LIMA FERNANDES";"PRESIDENTE";;"1998-12-28";"2010-10-26";"Pedido de cancelamento"
"379816";"60500121000124";"ACESITA SERVIÇOS, COMÉRCIO .IND. E PARTICIPAÇOES LTDA";"CELFI";"Autogestão";"AV. MÉXICO";"S/N";;"CRUZEIRINHO";"Timóteo";"MG";"35180000";"31";"8497179";"8491302";;"JEAN ANDRÉ AIMÉ GILET";"DIRETOR PRESIDENTE";;"1998-12-30";"2010-10-26";"Pedido de cancelamento"
"326372";"43837152000156";"ACHESON DO BRASIL INDUSTRIA E COM. LTDA.";;"Autogestão";"R. HOWARD A  ACHESON JR";"279";;"JARDIM DA GLÓRIA";"Cotia";"SP";"06711280";"11";"46124000";"4925433";"imperio@imperiosaude.com.br";"DALVA APARECIDA IMPÉRIO";"ASSESSORIA";;"1999-01-19";"2003-03-11";"Pedido de cancelamento"
"408417";"03394682000152";"ACMED ASSISTÊNCIA MÉDICA LTDA";"ACMED";"Medicina de Grupo";"RUA ASSIS BRASIL";"4035";;"SARANDI";"Porto Alegre";"RS";"44030710";"71";"3799512";"3799512";;"SERGIO ALVES DE FREITAS";"SÓCIO GERENTE";;"1999-09-26";"2003-03-11";"Ausência de operação"
"400386";"01892950000130";"ADCON - ADMINISTRADORA DE CONVENIOS ODONTOLÓGICOS LTDA";"ODONTO SERV";"Odontologia de Grupo";"AV. ANTÔNIO CARLOS MAGALHÃES";"3840";"LOJA J - EDIFÍCIO CAPEMI";"PITUBA";"Salvador";"BA";"41820000";"11";"21686870";"21812211";"rcury@odontoprev.com.br";"ROBERTO SEME CURY";"REPRESENTANTE LEGAL";5;"1999-02-11";"2014-06-30";"Por incorporação"
"420671";"26134881000127";"ADDERE ADMINISTRADORA DE BENEFÍCIOS EIRELI";"ADDERE ADMINISTRADORA DE BENEFÍCIOS";"Administradora de Benefícios";"AV. DAS ARAUCÁRIAS";"LOTE 1835";"1905, 1955 E 2005, 4º PISO, SL 444/445";"SUL (ÁGUAS CLARAS) ";"Brasília";"DF";"71936250";"61";"982537447";;"financeiro@addereadm.com";"JULIANA DOS SANTOS GONTIJO";"Sócia Administradora";4;"2016-12-13";"2023-05-22";"Alternat. à Liquidação - Deliberação de Diretoria Colegiada"
"413640";"85326544000109";"ADDMAKLER ADMINISTRADORA E CORRETORA DE SEGUROS LTDA";"ADDMAKLER SEGUROS";"Medicina de Grupo";"Rua Ingo Hering";"20";"6o. andar";"CENTRO";"Blumenau";"SC";"89010205";"047";"2217000";"2217070";"edson@addmakler.com.br";"ARI LEANDRO GONÇALVES";"DIRETOR";;"2001-04-19";"2002-03-22";"Pedido de cancelamento"
"409723";"35792555000106";"ADEFOMM - ASSOC. EX-ALUNOS ESCOLAS DE FORM DE OFICIAIS DA MARINHA  ";"CLÍNICA GERAL ADEFOMM";"Autogestão";"RUA SÃO FRANCISCO XAVIER";"453 ";"A";"MARACANÃ";"Rio de Janeiro";"RJ";"20550010";"21";"99950183";"4421960";;"LUTEGAR DOS SANTOS PEREIRA";"DIRETOR PRESIDENTE";;"1999-11-11";"2007-04-19";"Descumprimento da RN n.º 100/2005"
"37603";"00673500000194";"ADLER PTI LTDA";;"Autogestão";"AV. PINHEIROS";"1070";;"RETIRO DO JATOBÁ";"Ibirité";"MG";"32400000";"31";"3823832";"3810322";;"HELENA APARECIDA DOS SANTOS";"X";;"1998-12-30";"1999-09-20";"Descumprimento da Circular SUSEP no. 77/1999"
"417556";"09035280000148";"ADM ADMINISTRADORA DE BENEFÍCIOS LTDA";;"Administradora de Benefícios";"Avenida Tamboré";"267";"Conjunto 201B, Torre Norte, 20º andar, p";"Alohaville";"Barueri";"SP";"06460000";"11";"47005033";"34911102";"br.juridico@aon.com.br";"LEONARDO CARNEIRO MARTINS COELHO";"DIRETOR ADJUNTO COMERCIAL";1;"2010-09-21";"2023-12-18";"Alternat. à Liquidação - Deliberação de Diretoria Colegiada"
"314641";"01785379000155";"ADM DE PLANOS DE ASSIST. ODONTOLOGICA PRODENT LTDA";"PRODENT";"Odontologia de Grupo";"AV. 7 DE SETEMBRO";"400";"ED FUND POLITECNICA BL A - SALA 98";"CENTRO";"Salvador";"BA";"40006001";"71";"32431077";"3214044";;"MARCOS ANTONIO SOARES";"SÓCIO";;"1998-12-29";"2008-01-17";"Descumprimento da RN n.º 100/2005"
"318493";"01035838000183";"ADMED ASS. E ADM. NA AREA DE SAUDE";"ADMED ASSESSORIA E ADMINISTRAÇAO";"Medicina de Grupo";"AV. 1.º DE MARÇO ";"279";;"GUANABARA";"Campinas";"SP";"13010010";"71";"33519379";;"admedsaude@gmail.com";"JORGE LUIS ZANETTI PEREIRA";;;"1998-12-30";"2010-02-02";"Descumprimento da RN n.º 100/2005"
"419036";"08543312000153";"ADMISA ASSISTENCIA ODONTOLOGICA LTDA";;"Odontologia de Grupo";"RUA DOUTOR QUIRINO";"734";"3º ANDAR - SALA 34";"CENTRO";"Campinas";"SP";"13015081";"19";"31122900";;"WALTER@ASSIMEDICA.COM.BR";"WALTER ROSA FILHO";"SóCIO-ADMINISTRADOR";6;"2013-09-11";"2015-05-14";"Descumprimento de disposição legal"
"418471";"08543312000153";"ADMISA ASSISTÊNCIA ODONTOLÓGICA LTDA";"ADMISA ASSISTÊNCIA ODONTOLÓGICA LTDA";"Odontologia de Grupo";"RUA DOUTOR QUIRINO";"734";;"CENTRO";"Campinas";"SP";"13015081";"19";"31122900";"31122900";"WALTER@ASSIMEDICA.COM.BR";"WALTER ROSA FILHO";"ADMINISTRADOR";;"2012-03-26";"2013-05-06";"Descumprimento de disposição legal"
"419117";"17646584000170";"ADMPLAN ADMINISTRADORA DE BENEFICIOS LTDA";;"Administradora de Benefícios";"RUA DOUTOR BORMAN";"6";"SL 603  ED MONTE CARLO";"CENTRO";"Niterói";"RJ";"24020030";"21";"26212535";;"LEONARDO@UNIMEDICASAUDE.COM";"RENATO DA SILVA SOTÃO";"ADMINISTRADOR";;"2013-10-03";"2015-09-10";"Descumprimento de disposição legal"
"416312";"05961037000108";"ADMSAÚDE SERVIÇOS DE SAÚDE LTDA";;"Administradora";"RUA LIBERO BADARÓ";"152";"21.º ANDAR";"CENTRO";"São Paulo";"SP";"01008000";"11";"31031633";"310311633";"financeiro@admsaude.com.br";"RICARDO JESUS DE QUEIROZ";"DIRETOR ADMINISTRATIVO";;"2007-08-20";"2008-10-23";"Pedido de cancelamento"
"377252";"47680798000123";"ADP BRASIL LTDA";"ADP SYSTEMS";"Autogestão";"RUA JOÃO TIBIRIÇA";"1112";"PRÉDIO 2";"VI ANASTÁCIO";"São Paulo";"SP";"05077000";"11";"36469642";"32112120";"elalmeida@adp.com.br";"CESAR EMILIO DIAS MARINHO";"DIETOR GERAL";;"1998-12-30";"2007-05-04";"Pedido de cancelamento"
"419168";"17273560000112";"ADPART M2 ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA - EM LIQUIDAÇÃO EXTRAJUDICIAL";;"Medicina de Grupo";"RUA DONA ANITA MAYER";"139";;"BOTAFOGO";"Campinas";"SP";"13020350";"19";"21029700";;"gustavo@coopus.com.br";"FABIANO FABRI BAYARRI";"LIQUIDANTE EXTRAJUDICIAL";5;"2013-10-22";"2025-03-12";"Liquidação Extrajudicial"
"35887";"01923403000175";"ADPLAM ASSISTENCIA MÉDICA LTDA.";;"Medicina de Grupo";"RUA LEANDRO MARTINS";"20";"SALA 1203";"CENTRO";"Rio de Janeiro";"RJ";"20080070";"21";"5160104";"2334602";;"JOSÉ RICARDO DE ALMEIDA SERRA.";"X";;"1999-01-05";"1999-09-20";"Descumprimento da Circular SUSEP no. 77/1999"
"417190";"03506124000131";"ADPLAN ADMINISTRAÇÃO E PLANEJAMENTO DE BENEFÍCIOS LTDA";"ADPLAN ADMINISTRAÇÃO DE PLANOS DE SAÚDE";"Administradora de Benefícios";"RUA BUENOS AIRES";"23";"4º ANDAR";"CENTRO";"Rio de Janeiro";"RJ";"20070020";"21";"25160273";"25160273";"ADPLANPAR@ADPLANPAR.COM.BR";"PAULO SERGIO BRAZILIANO PESSOA DOS SANTOS";"REPRESENTANTE";;"2010-04-09";"2015-09-10";"Descumprimento de disposição legal"
"006807";"30110514000160";"ADRESS SEGUROS E PREVIDENCIA S/A";;"Seguradora";"RUA MORAES E VALLE";"111";;"CENTRO";"Rio de Janeiro";"RJ";"20011040";"21";"5098181";;;;;;"1998-12-16";"2002-03-22";"Adequação à Lei no. 10.185/2001"
"410161";"03508797000120";"ADRESS SÃO PAULO ASSISTENCIA MEDICA S/C LTDA";;"Medicina de Grupo";"RUA SETE ABRIL ";"277";"14.ª ANDAR";"REPÚBLICA";"São Paulo";"SP";"01003000";"11";"31014971";"38852000";"www.evolucaosaude.com";"JOSUE MOREIRA TEIXEIRA";"GERENTE-DELEGADO";;"1999-12-10";"2014-08-04";"Alternat. à Liquidação - Deliberação de Diretoria Colegiada"
"414565";"02448974000168";"ADS -A ARTE DO DENTE SAUDAVEL S/C LTDA";"ADS- ASSISTENCIA ODONTOLOGICA";"Odontologia de Grupo";"RUA DO OUVIDOR";"130";"1ª SOBRELOJA 209";"CENTRO";"Rio de Janeiro";"RJ";"20030040";"021";"22212512";"25243030";"andersontvalente@click21.com.br";"PAULO HENRIQUE DA SILVA BARROS";"ADMINISTRADOR";6;"2003-04-08";"2008-09-22";"Pedido de cancelamento"
"400394";"02553028000181";"ADSEG ADMINISTRACAO DE PLANOS DE SAÚDE LTDA";"ADSEG-MED";"Medicina de Grupo";"AV. DANTAS BARRETO";"507";"CONJ. 501";"SANTO ANTONIO";"Recife";"PE";"50010360";"81";"34247777";"4247777";"pontesa@elogica.com.br";"SANDRA REJANE DE NOVAES PIRES SANTOS";"SOCIO-GERENTE";;"1999-02-11";"2002-07-19";"Pedido de cancelamento"
"405779";"02765314000100";"ADVANCE SAÚDE LTDA";"LÍDER SAUDE";"Medicina de Grupo";"RUA DESEMBARG. TOMAZ ANTÔNIO GUIMARÃES";"36";;"CASA CAIADA";"Olinda";"PE";"53130580";"81";"34945649";;;"FLÁVIO LOPES BARBOSA";"SÓCIO";;"1999-07-01";"2007-09-26";"Pedido de cancelamento"
"402451";"96474572000181";"ADVESP ASSOC DOS DEFICIENTES VISUAIS DO EST DE SP";;"Autogestão";"RUA SÃO BENTO";"545";"TERREO SUP - S 14 E 8";"CENTRO";"São Paulo";"SP";"01011100";"11";"31066137";;;"AGENOR DOMINGUES VIEIRA";;;"1999-03-24";"2004-07-12";"Pedido de cancelamento"
"411451";"03815561000137";"ADW SERVIÇOS DE SAUDE S/C LTDA";;"Medicina de Grupo";"RUA ALEXANDRE MARQUEZ";"854";;"MARTINS";"Uberlândia";"MG";"38400446";"34";"2358532";"2350970";"devanir@triang.com.br";"WILSON PEREIRA";"SÓCIO - GERENTE";;"2000-06-08";"2001-07-23";"Pedido de cancelamento"
"416452";"08854041000157";"AFINIDADE ADMINISTRADORA DE BENEFÍCIOS LTDA.";"AFINIDADE";"Administradora de Benefícios";"SCN QUADRA 5 BLOCO A";"50";"SALA 817 - PARTE B";"BRASILIA SHOPPING";"Brasília";"DF";"70310500";"61";"21056000";;;"ELCIO ELERSON MORAES";"PRESIDENTE";6;"2007-11-28";"2014-01-27";"Deliberação de Diretoria Colegiada"
"403598";"00395487000159";"AFONSO & VALLE S/C LTDA";"DENTAL SHARING ASSISTÊNCIA ODONTOLÓGICA";"Odontologia de Grupo";"RUA FERNANDO SIMAS";"334";;"BIGORRILHO";"Curitiba";"PR";"80430190";"41";"33233933";"33233933";"scharing@b.com.br";"PAULO AFONSO CUNALI";"SÓCIA";;"1999-04-19";"2008-06-30";"Pedido de cancelamento"
"406988";"03235278000136";"AFRO-MED ASSISTENCIA MEDICA SC LTDA";"AFRO-MED";"Medicina de Grupo";"RUA VASCO DA GAMA";"37";"3ºANDAR CONJ.31";"BRAS";"São Paulo";"SP";"03003050";"11";"65461881";"65477661";"eliasapp@ibest.com.br";"EMMANUEL ODUNAYO TOYIN OLUWATUYI";"DIRETOR";;"1999-08-06";"2008-01-17";"Descumprimento da RN n.º 100/2005"
"410918";"02842732000154";"AFUSIP - ASSOC. DOS FUNCIONÁRIOS DO SIST. PENITENCIÁRIO DE CAMPINAS E REGIÃO";"AUGE-SAÚDE";"Autogestão";"RODOVIA CAMPINAS MONTE MOR";"km 4,5";;"NOVA BOA VISTA";"Campinas";"SP";"13064180";"19";"2338348";"2377192";"zanetti@aquarium.com.br";"VALDOMIRO FRANCISCO DE OLIVEIRA";"PRESIDENTE";;"2000-03-24";"2008-03-31";"Descumprimento da RN n.º 100/2005"
"351288";"60619202000148";"AGA   S A";"AGA   S A";"Autogestão";"RUA DA PASSAGEM";"123";"3º,6º E 7º ANDARES";"BOTAFOGO";"Rio de Janeiro";"RJ";"22290030";"21";"5431262";"5431893";"paulo.pulitini@aga.se";"PAULO CESAR PULITINI CAMPOS";;;"1998-12-22";"2000-12-07";"Pedido de cancelamento"
"339601";"02933220000101";"AGEMED SAÚDE LTDA - EM LIQUIDAÇÃO EXTRAJUDICIAL";"AGEMED";"Medicina de Grupo";"RUA DR. PLÁCIDO OLÍMPIO DE OLIVEIRA";"693";;"BUCAREIN";"Joinville";"SC";"89202450";"47";"34614454";"474614445";"contabilidade@agemed.com.br";"MARINA RAMOS";"Liquidante Extrajudicial";6;"1999-01-19";"2020-10-06";"Liquidação Extrajudicial"
"005177";"61573796000166";"AGF BRASIL SEGUROS S.A.";;"Seguradora";"RUA LUIS COELHO";"26";;"CERQUEIRA CÉSAR";"São Paulo";"SP";"01309900";"11";"31716687";"31716506";"fsalencar@agf.com.br";"REGINALDO PEREIRA NAKAO";"DIRETOR EXECUTIVO";;"1998-12-16";"2002-03-22";"Adequação à Lei no. 10.185/2001"
"423360";"46514008000177";"AGUERO PLANO ODONTOLOGICO LTDA";"ODONTO MAIS";"Odontologia de Grupo";"AV BRASIL";"860";"SALA B";"NOVA BRASÍLIA";"Ji-Paraná";"RO";"76908354";"62";"98482738";;"joaopaulodecastroeaguero@gmail.com";"JOÃO PAULO DE CASTRO E AGUERO";"ADMNISTRADOR";;"2022-10-10";"2023-04-24";"AUSÊNCIA DE SOLICITAÇÃO DE REGISTRO DE PRODUTO"
"363782";"01734302000156";"AHOL - ATENDIMENTO HOSPITALAR E ODONTOLÓGICO LTDA.";"ATENDEMED";"Medicina de Grupo";"RUA ÁLVARO MENDES";"2280";;"CENTRO";"Teresina";"PI";"64000060";"86";"31227000";"31227001";"atendemed@atendemed.com.br";"ADEMAR FARIAS";"ADMINISTRADOR";5;"1999-02-01";"2011-12-16";"Liquidação Extrajudicial"
"006734";"42151266000185";"AIG BRASIL COMPANHIA DE SEGUROS";;"Seguradora";"AV. EUSEBIO MATOSO";"1375";"4º ANDAR";"BUTANTÃ";"São Paulo";"SP";"05423180";"11";"30392866";"30394542";"miriam.assis@aig.com";"NEY FERRAZ DIAS";"DIRETOR";;"1998-12-16";"2002-03-22";"Adequação à Lei no. 10.185/2001"
"006297";"01955454000189";"AIG LIFE COMPANHIA DE SEGUROS";;"Seguradora";"AV EUSÉBIO MATOSO";"1375";;"BUTANTÃ";"São Paulo";"SP";"05423180";"11";"30392866";"30394542";"miriam.assis@aig.com";"NEY FERRAZ DIAS";"DIRETOR";;"1998-12-16";"2002-03-22";"Adequação à Lei no. 10.185/2001"
"314013";"42104919000175";"AIS - ASSOCIAÇÃO PARA INVESTIMENTO SOCIAL";"GOLDEN CROSS";"Medicina de Grupo";"RUA PROFESSORA VENINA CORREIA TORRES";"230";"SALAS 301/310";"CENTRO";"Nova Iguaçu";"RJ";"26220100";"21";"2971";"7677989";"comunica@goldencross.com.br";"JOÃO CARLOS GONÇALVES REGADO";"DIRETOR PRESIDENTE";;"1999-01-06";"2002-05-02";"Pedido de cancelamento"
"415324";"06292009000108";"AITE GESTÃO EM SAÚDE LTDA.";"AITE";"Administradora";"RUA PADRE GUILHERME POMPEU";"1";;"CENTRO";"Santana de Parnaíba";"SP";"06501055";"11";"32248272";;;"GILBERTO MIYAMOTO";"PRESIDENTE";;"2005-10-21";"2009-07-27";"Descumprimento da RN n.º 100/2005"
"415481";"04147982000108";"ALANGARDES FERREIRA MOREIRA E CIA. LTDA.";"NEO ODONTO CLINICAS INTEGRADAS";"Odontologia de Grupo";"RUA 07 DE SETEMBRO";"555";"LOTE 05-A QD. 14";"ARAGUÍNA";"Araguaína";"TO";"77804040";"63";"4153591";;"NEOODONTO@UOL.COM.BR";"ALANGARDES FERREIRA MOREIRA";"ADMINISTRADOR E RESPONSAVEL";;"2006-03-29";"2008-04-28";"Descumprimento da RN n.º 100/2005"
"402419";"14688485000162";"ALBA - SERVIÇOS E PLANOS DE SAÚDE LTDA";"ALBA";"Medicina de Grupo";"RUA CHILE";"23";"SALA 701/702";"CENTRO";"Salvador";"BA";"40020000";"071";"242.7138";"242.7138";"albasaude@uol.com.br";"JOSE CARLOS FARO GOMEZ";"SOCIO GERENTE";6;"1999-03-22";"2010-07-13";"Descumprimento da RN n.º 100/2005"
"35577";"73664203000156";"ALBERT SABIN ASSISTENCIA MÉDICA LTDA.";"SABIN SAÚDE";"Medicina de Grupo";"RUA PROFESSOR MIGUEL COUTO";"475";;"SANTA ROSA";"Niterói";"RJ";"24230240";"21";"6101001";"6100825";;"LUIZ BENEDITO DOS SANTOS FREITAS JÚNIOR";;;"1998-12-28";"1999-09-20";"Pedido de cancelamento"
